bls_item_code,item_name,series_id_cpi_u_nsa,series_id_cpi_u_sa,series_id_cpi_w_nsa,series_id_cpi_w_sa,api_url_v2,data_viewer_url
SEAE02,Boys' and girls' footwear,CUUR0000SEAE02,CUSR0000SEAE02,CWUR0000SEAE02,CWSR0000SEAE02,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEAE02,https://data.bls.gov/timeseries/CUUR0000SEAE02
SEAE03,Women's footwear,CUUR0000SEAE03,CUSR0000SEAE03,CWUR0000SEAE03,CWSR0000SEAE03,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEAE03,https://data.bls.gov/timeseries/CUUR0000SEAE03
SEAF,Infants' and toddlers' apparel,CUUR0000SEAF,CUSR0000SEAF,CWUR0000SEAF,CWSR0000SEAF,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEAF,https://data.bls.gov/timeseries/CUUR0000SEAF
SEAG,Jewelry and watches,CUUR0000SEAG,CUSR0000SEAG,CWUR0000SEAG,CWSR0000SEAG,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEAG,https://data.bls.gov/timeseries/CUUR0000SEAG
SEAG01,Watches,CUUR0000SEAG01,CUSR0000SEAG01,CWUR0000SEAG01,CWSR0000SEAG01,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEAG01,https://data.bls.gov/timeseries/CUUR0000SEAG01
SEAG02,Jewelry,CUUR0000SEAG02,CUSR0000SEAG02,CWUR0000SEAG02,CWSR0000SEAG02,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEAG02,https://data.bls.gov/timeseries/CUUR0000SEAG02
SAT,Transportation,CUUR0000SAT,CUSR0000SAT,CWUR0000SAT,CWSR0000SAT,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SAT,https://data.bls.gov/timeseries/CUUR0000SAT
SAT1,Private transportation,CUUR0000SAT1,CUSR0000SAT1,CWUR0000SAT1,CWSR0000SAT1,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SAT1,https://data.bls.gov/timeseries/CUUR0000SAT1
SATCLTB,Transportation commodities less motor fuel,CUUR0000SATCLTB,CUSR0000SATCLTB,CWUR0000SATCLTB,CWSR0000SATCLTB,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SATCLTB,https://data.bls.gov/timeseries/CUUR0000SATCLTB
SETA,New and used motor vehicles,CUUR0000SETA,CUSR0000SETA,CWUR0000SETA,CWSR0000SETA,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SETA,https://data.bls.gov/timeseries/CUUR0000SETA
SETA01,New vehicles,CUUR0000SETA01,CUSR0000SETA01,CWUR0000SETA01,CWSR0000SETA01,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SETA01,https://data.bls.gov/timeseries/CUUR0000SETA01
SETA02,Used cars and trucks,CUUR0000SETA02,CUSR0000SETA02,CWUR0000SETA02,CWSR0000SETA02,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SETA02,https://data.bls.gov/timeseries/CUUR0000SETA02
SETA03,Leased cars and trucks,CUUR0000SETA03,CUSR0000SETA03,CWUR0000SETA03,CWSR0000SETA03,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SETA03,https://data.bls.gov/timeseries/CUUR0000SETA03
SETA04,Car and truck rental,CUUR0000SETA04,CUSR0000SETA04,CWUR0000SETA04,CWSR0000SETA04,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SETA04,https://data.bls.gov/timeseries/CUUR0000SETA04
SETB,Motor fuel,CUUR0000SETB,CUSR0000SETB,CWUR0000SETB,CWSR0000SETB,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SETB,https://data.bls.gov/timeseries/CUUR0000SETB
SETB01,Gasoline (all types),CUUR0000SETB01,CUSR0000SETB01,CWUR0000SETB01,CWSR0000SETB01,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SETB01,https://data.bls.gov/timeseries/CUUR0000SETB01
SETB02,Other motor fuels,CUUR0000SETB02,CUSR0000SETB02,CWUR0000SETB02,CWSR0000SETB02,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SETB02,https://data.bls.gov/timeseries/CUUR0000SETB02
SETC,Motor vehicle parts and equipment,CUUR0000SETC,CUSR0000SETC,CWUR0000SETC,CWSR0000SETC,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SETC,https://data.bls.gov/timeseries/CUUR0000SETC
SETC01,Tires,CUUR0000SETC01,CUSR0000SETC01,CWUR0000SETC01,CWSR0000SETC01,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SETC01,https://data.bls.gov/timeseries/CUUR0000SETC01
SETC02,Vehicle accessories other than tires,CUUR0000SETC02,CUSR0000SETC02,CWUR0000SETC02,CWSR0000SETC02,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SETC02,https://data.bls.gov/timeseries/CUUR0000SETC02
SETD,Motor vehicle maintenance and repair,CUUR0000SETD,CUSR0000SETD,CWUR0000SETD,CWSR0000SETD,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SETD,https://data.bls.gov/timeseries/CUUR0000SETD
SETD01,Motor vehicle body work,CUUR0000SETD01,CUSR0000SETD01,CWUR0000SETD01,CWSR0000SETD01,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SETD01,https://data.bls.gov/timeseries/CUUR0000SETD01
SETD02,Motor vehicle maintenance and servicing,CUUR0000SETD02,CUSR0000SETD02,CWUR0000SETD02,CWSR0000SETD02,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SETD02,https://data.bls.gov/timeseries/CUUR0000SETD02
SETD03,Motor vehicle repair,CUUR0000SETD03,CUSR0000SETD03,CWUR0000SETD03,CWSR0000SETD03,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SETD03,https://data.bls.gov/timeseries/CUUR0000SETD03
SETE,Motor vehicle insurance,CUUR0000SETE,CUSR0000SETE,CWUR0000SETE,CWSR0000SETE,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SETE,https://data.bls.gov/timeseries/CUUR0000SETE
SETF,Motor vehicle fees,CUUR0000SETF,CUSR0000SETF,CWUR0000SETF,CWSR0000SETF,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SETF,https://data.bls.gov/timeseries/CUUR0000SETF
SETF01,State motor vehicle registration and license fees,CUUR0000SETF01,CUSR0000SETF01,CWUR0000SETF01,CWSR0000SETF01,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SETF01,https://data.bls.gov/timeseries/CUUR0000SETF01
SETF03,Parking and other fees,CUUR0000SETF03,CUSR0000SETF03,CWUR0000SETF03,CWSR0000SETF03,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SETF03,https://data.bls.gov/timeseries/CUUR0000SETF03
SETG,Public transportation,CUUR0000SETG,CUSR0000SETG,CWUR0000SETG,CWSR0000SETG,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SETG,https://data.bls.gov/timeseries/CUUR0000SETG
SETG01,Airline fare,CUUR0000SETG01,CUSR0000SETG01,CWUR0000SETG01,CWSR0000SETG01,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SETG01,https://data.bls.gov/timeseries/CUUR0000SETG01
SETG02,Other intercity transportation,CUUR0000SETG02,CUSR0000SETG02,CWUR0000SETG02,CWSR0000SETG02,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SETG02,https://data.bls.gov/timeseries/CUUR0000SETG02
SETG03,Intracity transportation,CUUR0000SETG03,CUSR0000SETG03,CWUR0000SETG03,CWSR0000SETG03,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SETG03,https://data.bls.gov/timeseries/CUUR0000SETG03
SAM,Medical care,CUUR0000SAM,CUSR0000SAM,CWUR0000SAM,CWSR0000SAM,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SAM,https://data.bls.gov/timeseries/CUUR0000SAM
SAM1,Medical care commodities,CUUR0000SAM1,CUSR0000SAM1,CWUR0000SAM1,CWSR0000SAM1,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SAM1,https://data.bls.gov/timeseries/CUUR0000SAM1
